text,label
"Popular children's cartoon confirmed to contain subliminal satanic messaging",0
"New financial system being prepared to replace dollar overnight crash coming",0
"They are putting nano-robots in food supply that transmit location to satellites",0
"URGENT WARNING: New 5G towers activating chips implanted during flu shots",0
"Celebrities who refuse to join Illuminati are killed and replaced with clones",0
"Secret court allows government to execute citizens without trial new law",0
"Ancient buried city found proving biblical flood was real event scientists hide it",0
"Doctors prescribing dangerous pills to increase depression not cure it for profit",0
"SHOCKING: All wars are planned years in advance by shadow government meeting",0
"Major tech company confirmed to be spying on users through smart refrigerators",0
"Scientists discover second sun hidden behind planet Mars government not telling",0
"ALERT: New bill makes it illegal to grow your own food to control food supply",0
"Vaccine ingredients include mercury and formaldehyde to slowly weaken population",0
"Hollywood producer exposes how Disney uses movies to brainwash children",0
"Evidence proves that COVID-19 was created in lab and released on purpose for control",0
"BREAKING: Elite pedophile ring exposed connecting top politicians and executives",0
"Secret ingredient in popular baby formula causes autism scientists found proof",0
"They are testing mind control frequencies on public through smart meters at home",0
"URGENT: Major bank collapse planned for next month insiders moving money now",0
"Pilots refuse to fly over certain areas because government hiding giant structure",0
"New genetic study confirms humans and dolphins actually related not apes surprise",1
"Parliament debates new cybersecurity framework for critical infrastructure",1
"Report shows decrease in child mortality rates globally over past decade",1
"Scientists develop solar cells that work efficiently in cloudy conditions",1
"New algorithm helps doctors diagnose rare diseases from medical images",1
"Government announces stricter food safety regulations after outbreak",1
"Study finds income inequality linked to lower life expectancy in urban areas",1
"Researchers create drought-resistant wheat variety for arid climates",1
"New law mandates accessibility features in all public buildings",1
"Scientists discover how immune system fights off chronic infections",1
"Annual disaster relief report highlights need for better early warning systems",1
"New funding for arts programs in schools shows improvement in student creativity",1
"Satellite data confirms record sea ice loss in Arctic during summer months",1
"Medical breakthrough allows paralyzed patients to move limbs using brain implant",1
"Study shows exposure to nature improves mental health outcomes significantly",1
"New carbon tax policy debated in parliament amid economic concerns",1
"Scientists develop implant that monitors blood sugar without finger pricks",1
"Report warns of growing cybersecurity threats to election infrastructure",1
"New training program reduces workplace injuries in construction industry",1
"Study finds omega-3 supplements reduce risk of cardiac events in high-risk patients",1
"Astronomers confirm existence of planet nine beyond Pluto using new telescope",1
"Government releases plan to modernize aging power grid infrastructure",1
"Researchers discover gene that regulates body clock and affects metabolism",1
"New trade route through Arctic reduces shipping times between Asia and Europe",1
"Study confirms link between lead exposure in childhood and adult crime rates",1
"Medical researchers develop new treatment for antibiotic-resistant tuberculosis",1
"Scientists find evidence of ancient ocean on Mars in rock formations",1
"New urban farming techniques provide fresh vegetables in food deserts",1
"Government study shows investment in early education has 7-to-1 return",1
"Researchers discover new species of deep sea creature in Pacific Ocean",1
"BOMBSHELL: Famous athlete admits to using alien technology to enhance performance",0
"SECRET CURE: NASA scientist reveals hydrogen peroxide injections cure all disease",0
"Government has been hiding that gasoline cars actually run on water since 1974",0
"EXPOSED: Schools are programming children to become obedient slaves to corporations",0
"They added secret ingredient to coffee supply to reduce male fertility",0
"Ancient map proves America was discovered by Chinese 100 years before Columbus",0
"BREAKING: Famous billionaire found to be running secret weather control operation",0
"Scientists discover that eating 40 bananas a day reverses aging completely",0
"URGENT WARNING: New smart TVs recording private conversations for government use",0
"Military insider reveals that nuclear weapons are fake and never existed",0
"Secret tunnel found beneath White House connects to underground shadow government HQ",0
"They are putting birth control chemicals in municipal water to control population",0
"EXPOSED: Cancer survival rates are fake hospitals paid to claim patients died",0
"New world currency already printed and ready to replace all money this year",0
"Aliens living among humans confirmed by whistleblower from top secret facility",0
"SHOCKING: All major sporting events are rigged by international gambling syndicate",0
"Government using school vaccination programs to collect DNA from all children",0
"Whistleblower reveals Facebook was created by CIA to spy on population",0
"Scientists confirm earth is only 6000 years old and dinosaur bones are planted",0
"BREAKING: Pope secretly converts to Islam in private ceremony video leaked",0
"New regulations require food companies to display nutritional information clearly",1
"Scientists develop blood test that detects 50 types of cancer simultaneously",1
"Government announces expansion of free childcare for working families",1
"New drug therapy reduces severity of sickle cell disease in trials",1
"Report finds significant progress in reducing ocean plastic pollution",1
"Astronomers identify star system with six Earth-like planets",1
"Study links social isolation to increased risk of early dementia",1
"New bridge design uses recycled materials and generates solar power",1
"Government publishes results of prison rehabilitation program showing reduced recidivism",1
"Scientists discover how certain bacteria survive in extreme heat and cold",1
"New law requires employers to provide paid parental leave",1
"Study shows green roofs on buildings reduce urban heat island effect",1
"Medical researchers find new treatment for aggressive form of brain cancer",1
"Government invests in high-speed rail network to connect regional cities",1
"Researchers develop enzyme that breaks down plastic in hours not centuries",1
"New air quality standards implemented in 20 major cities worldwide",1
"Study confirms vitamin D deficiency linked to increased COVID-19 severity",1
"Scientists map the complete neural connectome of a mouse brain",1
"Government launches digital identity verification system for public services",1
"New research shows regular walking reduces risk of type 2 diabetes by 30 percent",1
"Earthquake early warning system saves lives in pilot program",1
"Scientists develop test to measure ocean health using environmental DNA",1
"Report shows renewable energy jobs now outnumber fossil fuel industry jobs",1
"New app uses AI to detect fake images and videos for fact-checkers",1
"Study finds plant-based protein as effective as animal protein for muscle building",1
"ALERT: Secret frequency in popular music is reprogramming your subconscious mind",0
"They replaced real gold with tungsten in all bank vaults years ago sources say",0
"EXPOSED: Major hospital chain harvesting organs from living patients for profit",0
"Famous scientist admits evolution is a lie designed to remove God from schools",0
"Government testing biological weapons on citizens through chemtrail spraying",0
"SHOCKING: Popular diet drink causes permanent brain damage over time confirmed",0
"Ancient aliens built all ancient monuments and scientists hiding evidence",0
"BREAKING: World economic forum plans to eliminate private property by 2030",0
"Secret document proves oil companies knew about cold fusion but buried technology",0
"They are slowly poisoning food supply to create chronic illness requiring medication",0
"URGENT: New legislation allows corporations to own the rights to your DNA",0
"Billionaire-funded study proves sunlight exposure causes cancer for population control",0
"EXPOSED: Mainstream science is all fabricated to control what people believe",0
"Military confirms UFOs are enemy drones not aliens and government hiding conflict",0
"Secret society meeting leaked showing plans for staged global pandemic next year",0
"BOMBSHELL: Famous actor reveals Hollywood sacrifice rituals to gain fame",0
"They are using fluorescent lights in stores to induce hypnotic buying behavior",0
"New study proves smartphones cause brain tumors in heavy users scientists confirm",0
"Government quietly legalizes indefinite detention without trial in new law",0
"EXPOSED: Birth certificates are actually ownership documents sold to foreign banks",0
"New evidence shows ancient Egyptians had electricity and the Vatican has proof",1
"Scientists use machine learning to predict protein folding with high accuracy",1
"Government program provides free mental health services to veterans",1
"New treatment reduces recovery time for common sports injuries",1
"Report highlights growing demand for skilled workers in renewable energy sector",1
"Astronomers detect repeating radio signal from distant galaxy",1
"Study finds cognitive behavioral therapy effective for treating chronic pain",1
"New infrastructure law funds repairs of thousands of aging bridges",1
"Scientists develop low-cost water filter using agricultural waste",1
"Government opens public consultation on proposed AI regulation framework",1
"Research confirms benefits of school-based mental health programs for teens",1
"New manufacturing process reduces carbon emissions in steel production by 40 percent",1
"Study links ultra-processed food consumption to higher cancer risk",1
"Scientists discover mechanism by which exercise improves brain function",1
"New policy mandates climate risk disclosures for publicly listed companies",1
"Researchers develop wearable device that monitors multiple health indicators",1
"Government invests in expanding broadband access to rural communities",1
"Study shows urban beekeeping contributes to pollinator diversity",1
"Scientists use CRISPR to treat genetic disease in clinical trials",1
"New guidelines recommend earlier screening for colorectal cancer",1
"Report shows global deforestation rates declined slightly in past year",1
"Engineers develop floating solar panels for reservoirs increasing energy output",1
"Study confirms that quality sleep is critical for immune system function",1
"New treaty requires nations to share information on emerging pathogens",1
"Scientists discover how plants communicate stress signals through underground networks",1
"BREAKING NEWS: Government to confiscate all guns within 30 days secret order",0
"EXPOSED: Television signals contain frequencies that make viewers passive and obedient",0
"Secret ingredient in popular pizza chain sauce causes addiction similar to heroin",0
"They have been hiding the true age of the universe to control religious beliefs",0
"SHOCKING: Major tech CEO is actually a government-programmed robot with real face",0
"Ancient scrolls prove Jesus was actually a space traveler from another galaxy",0
"Scientists admit they faked ozone layer hole to justify banning cheap refrigerants",0
"ALERT: New social credit system to be imposed on Western countries within months",0
"They are replacing real vegetables in grocery stores with lab-grown toxic clones",0
"BOMBSHELL: Titanic sinking was planned by JP Morgan to eliminate political enemies",0
"Secret military technology can read minds from satellite confirmed by veteran",0
"Government confirmed to be testing human cloning in underground facility",0
"EXPOSED: Famous music artist is actually three different people taking shifts",0
"They have cured HIV but keep it secret because treatment is worth more than cure",0
"New world army being formed to enforce global government on all nations soon",0
"SHOCKING: Popular streaming service embeds subliminal messages in popular shows",0
"Ancient pyramid discovered underground proving advanced civilization before history",0
"Government using ultrasonic frequencies in public spaces to control crowd behavior",0
"BREAKING: Elite bunker community confirmed with own food supply and government hidden",0
"They are adding tracking chemicals to paper money to monitor spending habits",0
"Researchers develop new alloy stronger than steel at fraction of the weight",1
"Government announces plan to phase out single-use plastics by 2025",1
"Study shows telemedicine reduces hospital readmission rates for chronic patients",1
"New early intervention program reduces school dropout rates in pilot districts",1
"Scientists discover enzyme that can neutralize venom from multiple snake species",1
"Report shows significant increase in electric vehicle charging infrastructure",1
"New mental health app developed by researchers shows clinical effectiveness",1
"Government releases annual report on progress toward sustainable development goals",1
"Study finds urban parks reduce stress hormones in city residents significantly",1
"Scientists develop plant-based meat alternative with better nutritional profile",1
"New law strengthens protections for workers in gig economy",1
"Research confirms importance of prenatal nutrition for child cognitive development",1
"Scientists discover how coral reefs can adapt to warmer ocean temperatures",1
"Government launches initiative to plant one billion trees over next decade",1
"New diagnostic method detects heart attack risk years before event occurs",1
"Study shows children who read for pleasure perform better across all subjects",1
"Scientists develop drone swarm technology for large-scale forest monitoring",1
"New policy requires tech companies to provide user data portability",1
"Research links certain gut bacteria to reduced risk of food allergies in children",1
"Government program helps first-generation students access college education",1
"Scientists discover how migratory birds navigate using Earth's magnetic field",1
"New clean energy project will power 50000 homes using tidal energy",1
"Study confirms exercise can reverse early cognitive decline in older adults",1
"Government releases 5-year strategic plan for digital infrastructure",1
"Researchers develop blood test to predict preeclampsia risk in pregnant women",1
"THEY ARE HIDING IT: Hospitals using secret drug to make patients permanently sick",0
"URGENT ALERT: Foreign government has already hacked all US elections since 2000",0
"EXPOSED: Weather apps are lying about temperature to make climate change seem real",0
"Secret ingredient in popular fast food chains makes you addicted and brain dead",0
"Scientists confirm that prayer literally alters physical reality in lab conditions",0
"BOMBSHELL: Famous politician is a crisis actor who also played multiple roles",0
"They are beaming depression frequencies into cities to reduce birth rate",0
"Ancient star map proves earth is a simulation created by advanced beings",0
"BREAKING: Government passes secret law making freedom of speech punishable by jail",0
"Leaked documents show pharmaceutical companies fund all medical schools worldwide",0
"Secret code in all paper money confirms coming financial system collapse this year",0
"EXPOSED: All natural disasters are created using secret government technology",0
"They replaced real moon with holographic projection 50 years ago NASA confirms",0
"ALERT: New insect food program is secretly designed to alter human DNA structure",0
"Scientists secretly building machine to open portal to parallel dimension confirmed",0
"SHOCKING: All mainstream doctors are trained to harm not heal for profit system",0
"Government tracking citizens through tattoos that contain nanoscale RFID chips",0
"BREAKING EXCLUSIVE: Famous royal family member secretly lives as commoner in Ohio",0
"They are using AI to replace all human journalists with fake news creating bots",0
"Secret anti-aging pill exists and is only available to elite billionaire class members",0
"New study finds that daily coffee consumption reduces risk of liver disease",1
"Government allocates funds for upgrading water treatment facilities nationwide",1
"Scientists develop AI model to predict crop yields with 90 percent accuracy",1
"Report confirms decline in global poverty rate despite economic challenges",1
"New surgical robot performs minimally invasive procedures with greater precision",1
"Government study finds paid sick leave reduces spread of illness in workplaces",1
"Researchers identify three new deep sea species in Pacific Ocean expedition",1
"New framework helps cities prepare infrastructure for climate change impacts",1
"Study shows mixed-income housing developments reduce neighborhood inequality",1
"Scientists develop test to identify antibiotic resistance in bacteria within hours",1
"Government digital literacy program reaches 1 million adults in rural areas",1
"New evidence suggests ancient humans migrated to Americas earlier than thought",1
"Study finds weight-bearing exercise reduces risk of osteoporosis in women",1
"Scientists discover how neurons repair themselves after injury",1
"New policy expands access to mental health services through insurance coverage",1
"Research shows personalized learning approaches improve student outcomes",1
"Scientists develop blood test for detecting traumatic brain injury",1
"Government announces plan to make public transport free in pilot cities",1
"Study links light pollution to disrupted sleep and health problems in urban dwellers",1
"Researchers develop new solar panel coating that resists dust accumulation",1
"EXPOSED: Drinking tap water gives government direct access to control your thoughts",0
"BREAKING: World leaders meet secretly to plan global famine to reduce population",0
"THEY ADMITTED IT: Scientists confirm chemtrails contain population control chemicals",0
"Secret chip in all modern cars tracking location and reporting to authorities",0
"ALERT: New law will require citizens to get government approval to have children",0
"SHOCKING PROOF: Dinosaurs still alive hidden in government underground zoo facility",0
"Ancient text reveals true purpose of Stonehenge as alien communication device",0
"BOMBSHELL: All intelligence agencies secretly working for same shadow organization",0
"They put addictive substances in baby food to create lifelong brand loyalty",0
"URGENT: New 5G frequencies will cook your brain causing mass memory loss in months",0
"EXPOSED: Climate scientists threatened with death if they reveal real data findings",0
"Secret colony on Mars already exists with thousands of humans living there now",0
"BREAKING: International court secretly convicts world leaders but hides results",0
"They are inserting tiny cameras into all household appliances to spy on citizens",0
"SHOCKING: All mainstream political parties are controlled by same group of bankers",0
"Government using social media to run massive psychological experiment on citizens",0
"Ancient DNA proves that modern humans were genetically engineered by alien beings",0
"ALERT: New executive order allows seizure of private property without compensation",0
"EXPOSED: Major streaming platform uses viewer data to develop mind control content",0
"Secret organization controls all central banks and plans engineered currency collapse",0
"New renewable energy storage technology could transform power grid reliability",1
"Scientists develop nano-sensors that detect pollutants in water at parts per trillion",1
"Government expands free school meal program to reduce childhood food insecurity",1
"Report shows significant improvement in reading and math scores after curriculum reform",1
"New drug shows effectiveness against treatment-resistant forms of depression",1
"Scientists discover how climate change affects seasonal bird migration patterns",1
"Government announces investment in quantum computing research infrastructure",1
"Study finds community health workers reduce emergency room visits in rural areas",1
"New safety regulations reduce workplace fatalities in manufacturing sector",1
"Researchers develop portable device that purifies water using solar energy",1
"Government program funds affordable housing construction in high-cost cities",1
"Scientists find new evidence of ancient megadroughts from tree ring analysis",1
"New approach to diabetes management uses continuous monitoring and AI coaching",1
"Study confirms that regular social interaction reduces risk of cognitive decline",1
"Researchers discover new method to remove microplastics from drinking water",1
"Government releases comprehensive report on cybersecurity preparedness",1
"Scientists develop fuel cell that runs on seawater for maritime applications",1
"New education initiative trains teachers in trauma-informed instructional practices",1
"Study finds that volunteering regularly is associated with longer life expectancy",1
"Report highlights success of community policing strategies in reducing crime",1
